STATION,MODE,LAT,LONG,TIMEOFDAY,BOARDINGS,ALIGHTINGS
King Historical,RAIL,33.75548968,-84.37435941,DAILY,8,2
Edgewood/Hillia,RAIL,33.75438041,-84.37658011,DAILY,14,29
Sandy Springs,RAIL,33.93218729,-84.35208977,DAILY,3591.69,3616.65
North Springs,RAIL,33.94511896,-84.35726606,DAILY,7343.58,7507.14
Georgia State,RAIL,33.75008031,-84.38582967,DAILY,7266.54,7152.7
Inman Park/Reyn,RAIL,33.75769205,-84.35251524,DAILY,2443.3,2443.52
Edgewood/Candle,RAIL,33.76193601,-84.33963921,DAILY,1579.86,1559.08
East Lake,RAIL,33.76519723,-84.31276946,DAILY,1646.22,1695.49
Decatur,RAIL,33.77468883,-84.29574279,DAILY,3983.53,4105.06
Avondale,RAIL,33.77514262,-84.28227057,DAILY,3845.24,3755.67
Kensington,RAIL,33.77265675,-84.25189439,DAILY,6633.3,6639.59
Indian Creek,RAIL,33.76982934,-84.22965543,DAILY,7223.59,7316.39
Dome/GWCC/Phili,RAIL,33.75610139,-84.39712121,DAILY,2377.12,2479.12
Vine City,RAIL,33.75655043,-84.40401403,DAILY,1623.98,1524.89
Ashby,RAIL,33.75644578,-84.41724351,DAILY,2484.98,2453.73
West Lake,RAIL,33.75329302,-84.44534298,DAILY,1205.08,1182.97
Hamilton E Holm,RAIL,33.75447364,-84.47012807,DAILY,6924.31,6946.86
Bankhead,RAIL,33.77218678,-84.42893117,DAILY,1710.3,1677.55
Peachtree Cente,RAIL,33.75967751,-84.38756755,DAILY,10381,10920.4
Civic Center,RAIL,33.76648821,-84.38749686,DAILY,5092.36,4929.72
Midtown,RAIL,33.78111994,-84.38633916,DAILY,10018.2,10692.08
Arts Center,RAIL,33.78918261,-84.38732614,DAILY,10600.41,10874.8
Lindbergh Cente,RAIL,33.8224931,-84.36959926,DAILY,17989.18,17048.32
Lenox,RAIL,33.84538918,-84.35809298,DAILY,3859.96,3999.6
Brookhaven/Ogle,RAIL,33.85995051,-84.33936845,DAILY,2456.59,2444.74
Chamblee,RAIL,33.88746349,-84.30635678,DAILY,3365.2,3499.59
Buckhead,RAIL,33.84806247,-84.36785871,DAILY,4340.15,5254
Medical Center,RAIL,33.91076675,-84.35150425,DAILY,3309.79,3767.95
Dunwoody,RAIL,33.92129246,-84.34435935,DAILY,5525.32,5620.4
Garnett,RAIL,33.74883024,-84.39563408,DAILY,3226.46,3196.52
West End,RAIL,33.73581105,-84.41366372,DAILY,7627.3,7091.7
Oakland City,RAIL,33.71704952,-84.42512464,DAILY,4384.88,4380.74
Lakewood/Fort M,RAIL,33.70031817,-84.42886315,DAILY,2352.44,2325.56
East Point,RAIL,33.67685698,-84.44074954,DAILY,6727.32,6841.08
College Park,RAIL,33.65153306,-84.44877472,DAILY,10624.52,10408
Auburn/Piedmont,RAIL,33.7555401,-84.38222988,DAILY,20,21
Peachtree Cente,RAIL,33.75788041,-84.38759022,DAILY,23,29
Carnegie/Spring,RAIL,33.75925987,-84.38944947,DAILY,67.02,77.01
Woodruff Park S,RAIL,33.75630023,-84.38845983,DAILY,2,9
Luckie/Cone Str,RAIL,33.75788993,-84.39008967,DAILY,7,13
Centennial Olym,RAIL,33.75923989,-84.3920903,DAILY,34,30
Sweet Auburn Ma,RAIL,33.75440038,-84.3802706,DAILY,13,14
King Memorial,RAIL,33.75000421,-84.37543041,DAILY,1619.54,1885.24
Airport,RAIL,33.64068199,-84.44620591,DAILY,10765.82,7872.7
North Avenue,RAIL,33.77256732,-84.38699937,DAILY,8223.07,8229.16
Doraville,RAIL,33.90298663,-84.28025261,DAILY,6650.5,6559.55
Five Points (Gold),RAIL,33.75386763,-84.39159681,DAILY,39483.94,40859.18
Five Points (Blue),RAIL,33.75387048,-84.3915608,DAILY,31963.84,31712.85
Hurt Park Stree,RAIL,33.75447459,-84.3852735,DAILY,24,28
Park Place Stre,RAIL,33.75506728,-84.38820241,DAILY,33,21
Dobbs Plaza Str,RAIL,33.75552012,-84.37887016,DAILY,11,6
