FROM,TO,Work trips SOV,Work trips HOV,Work trips Transit,Non-work SOV,Non-work HOV,Non-work Transit,All SOV,All HOV,All Transit,Work trips All,Non-work All,All Trips
NFulton,NFulton,80952,14640,654,130112,218618,1188,211064,233258,1842,96246,349918,446164
NFulton,Roswell,17850,3262,148,23777,49506,279,41627,52768,427,21260,73562,94822
NFulton,SandySprings,7391,1317,283,2926,6257,167,10317,7574,450,8991,9350,18341
NFulton,Buckhead,2734,421,342,400,940,66,3134,1361,408,3497,1406,4903
NFulton,NWAtlanta,413,74,66,64,182,13,477,256,79,553,259,812
NFulton,NEAtlanta,1582,289,352,213,779,98,1795,1068,450,2223,1090,3313
NFulton,SWAtlanta,300,68,67,62,90,13,362,158,80,435,165,600
NFulton,CBDAtlanta,802,169,561,134,412,101,936,581,662,1532,647,2179
NFulton,SEAtlanta,263,82,49,55,101,6,318,183,55,394,162,556
NFulton,SFulton,82,19,2,16,30,1,98,49,3,103,47,150
NFulton,Tri-Cities,218,74,34,44,57,8,262,131,42,326,109,435
NFulton,Shannon,79,16,7,22,88,2,101,104,9,102,112,214
NFulton,WCherokee,509,89,0,129,419,0,638,508,0,598,548,1146
NFulton,NCherokee,428,79,0,129,258,0,557,337,0,507,387,894
NFulton,ECentCherokee,7316,1342,1,4432,12280,6,11748,13622,7,8659,16718,25377
NFulton,Woodstock,3691,714,3,2540,5989,8,6231,6703,11,4408,8537,12945
NFulton,Airport,68,25,34,12,5,3,80,30,37,127,20,147
NFulton,NEClayton,149,50,4,24,83,2,173,133,6,203,109,312
NFulton,Riverdale,86,25,6,13,30,1,99,55,7,117,44,161
NFulton,SClayton,70,19,2,16,31,2,86,50,4,91,49,140
NFulton,NWCobb,1566,288,1,483,1047,9,2049,1335,10,1855,1539,3394
NFulton,NECobb,5275,959,6,3597,9095,20,8872,10054,26,6240,12712,18952
NFulton,SWCobb,272,54,1,59,106,2,331,160,3,327,167,494
NFulton,Marietta,872,181,1,266,608,12,1138,789,13,1054,886,1940
NFulton,Cumberland,1841,306,15,350,827,9,2191,1133,24,2162,1186,3348
NFulton,SCobb,396,57,7,92,143,1,488,200,8,460,236,696
NFulton,Chamblee,4487,794,210,1504,3983,56,5991,4777,266,5491,5543,11034
NFulton,NWDeKalb,1011,169,48,177,957,51,1188,1126,99,1228,1185,2413
NFulton,NEDeKalb,1344,233,34,401,1008,10,1745,1241,44,1611,1419,3030
NFulton,Atlanta-DeKalb,139,25,23,33,41,5,172,66,28,187,79,266
NFulton,Decatur,133,23,27,26,77,14,159,100,41,183,117,300
NFulton,SWDeKalb,280,58,46,56,145,16,336,203,62,384,217,601
NFulton,SEDeKalb,278,46,17,49,143,2,327,189,19,341,194,535
NFulton,SDeKalb,197,44,16,63,101,2,260,145,18,257,166,423
NFulton,WDouglas,60,4,1,14,30,1,74,34,2,65,45,110
NFulton,EDouglas,126,23,2,32,75,2,158,98,4,151,109,260
NFulton,WFayette,14,1,0,8,14,0,22,15,0,15,22,37
NFulton,EFayette,40,11,0,15,31,0,55,42,0,51,46,97
NFulton,NGwinnett,5368,962,4,2656,7220,13,8024,8182,17,6334,9889,16223
NFulton,CentGwinnett,8915,1743,12,8760,20382,25,17675,22125,37,10670,29167,39837
NFulton,EGwinnett,822,135,1,163,412,3,985,547,4,958,578,1536
NFulton,Norcross,7102,1354,24,4949,12240,36,12051,13594,60,8480,17225,25705
NFulton,Lilburn,876,147,3,385,989,11,1261,1136,14,1026,1385,2411
NFulton,Snellville,847,152,3,226,491,4,1073,643,7,1002,721,1723
NFulton,NHenry,81,15,1,23,29,0,104,44,1,97,52,149
NFulton,EHenry,42,9,1,13,14,0,55,23,1,52,27,79
NFulton,SHenry,41,14,0,19,27,0,60,41,0,55,46,101
NFulton,SRockdale,59,6,0,18,20,0,77,26,0,65,38,103
NFulton,NRockdale,85,15,0,23,47,1,108,62,1,100,71,171
NFulton,NBarrow,290,46,0,53,65,0,343,111,0,336,118,454
NFulton,SBarrow,212,33,0,45,107,0,257,140,0,245,152,397
NFulton,NWBartow,48,7,0,16,36,0,64,43,0,55,52,107
NFulton,NEBartow,80,18,0,35,39,0,115,57,0,98,74,172
NFulton,SWBartow,81,12,0,19,72,0,100,84,0,93,91,184
NFulton,Cartersville,240,40,0,54,146,0,294,186,0,280,200,480
NFulton,NECarroll,10,2,0,4,6,0,14,8,0,12,10,22
NFulton,WCarroll,0,0,0,0,0,0,0,0,0,0,0,0
NFulton,CentralCarroll,3,0,0,1,7,0,4,7,0,3,8,11
NFulton,SECarroll,1,0,0,0,0,0,1,0,0,1,0,1
NFulton,WCoweta,5,1,0,1,1,0,6,2,0,6,2,8
NFulton,NCoweta,16,6,1,7,33,0,23,39,1,23,40,63
NFulton,SCoweta,1,0,0,0,1,0,1,1,0,1,1,2
NFulton,SECoweta,0,2,0,0,0,0,0,2,0,2,0,2
NFulton,NForsyth,4025,629,1,694,1997,1,4719,2626,2,4655,2692,7347
NFulton,Cumming,12426,2203,17,5162,14305,24,17588,16508,41,14646,19491,34137
NFulton,SForsyth,16271,3076,47,18495,41076,86,34766,44152,133,19394,59657,79051
NFulton,NHall,237,47,0,50,103,0,287,150,0,284,153,437
NFulton,Gainesville,595,113,0,120,209,0,715,322,0,708,329,1037
NFulton,SHall,798,140,0,163,274,0,961,414,0,938,437,1375
NFulton,WNewton,84,19,0,14,18,0,98,37,0,103,32,135
NFulton,ENewton,7,1,0,6,11,0,13,12,0,8,17,25
NFulton,NPaulding,137,22,0,28,96,0,165,118,0,159,124,283
NFulton,WPaulding,26,3,0,18,35,0,44,38,0,29,53,82
NFulton,EPaulding,262,28,0,73,172,0,335,200,0,290,245,535
NFulton,NSpalding,3,3,0,1,1,0,4,4,0,6,2,8
NFulton,SSpalding,1,0,0,1,1,0,2,1,0,1,2,3
NFulton,WWalton,222,24,0,46,77,1,268,101,1,246,124,370
NFulton,EWalton,111,20,0,28,88,0,139,108,0,131,116,247
Roswell,NFulton,18168,3405,145,23860,49727,272,42028,53132,417,21718,73859,95577
Roswell,Roswell,29510,5131,207,61820,114119,384,91330,119250,591,34848,176323,211171
Roswell,SandySprings,7535,1272,206,6919,13929,231,14454,15201,437,9013,21079,30092
Roswell,Buckhead,2353,349,316,453,1186,74,2806,1535,390,3018,1713,4731
Roswell,NWAtlanta,361,64,53,57,112,8,418,176,61,478,177,655
Roswell,NEAtlanta,1237,214,307,236,754,144,1473,968,451,1758,1134,2892
Roswell,SWAtlanta,244,52,29,56,80,25,300,132,54,325,161,486
Roswell,CBDAtlanta,703,134,605,93,265,98,796,399,703,1442,456,1898
Roswell,SEAtlanta,197,50,32,48,92,11,245,142,43,279,151,430
Roswell,SFulton,53,7,1,19,92,0,72,99,1,61,111,172
Roswell,Tri-Cities,230,56,26,21,110,5,251,166,31,312,136,448
Roswell,Shannon,56,7,1,19,42,1,75,49,2,64,62,126
Roswell,WCherokee,240,34,0,54,124,0,294,158,0,274,178,452
Roswell,NCherokee,157,14,0,43,100,0,200,114,0,171,143,314
Roswell,ECentCherokee,2706,471,1,1253,3901,0,3959,4372,1,3178,5154,8332
Roswell,Woodstock,2898,490,7,1778,4642,6,4676,5132,13,3395,6426,9821
Roswell,Airport,80,19,32,11,5,1,91,24,33,131,17,148
Roswell,NEClayton,113,36,2,30,31,3,143,67,5,151,64,215
Roswell,Riverdale,65,23,5,10,13,0,75,36,5,93,23,116
Roswell,SClayton,51,10,0,10,30,0,61,40,0,61,40,101
Roswell,NWCobb,1363,265,0,494,1306,12,1857,1571,12,1628,1812,3440
Roswell,NECobb,6306,1131,13,7372,17773,20,13678,18904,33,7450,25165,32615
Roswell,SWCobb,252,47,0,63,89,0,315,136,0,299,152,451
Roswell,Marietta,910,159,0,370,1042,10,1280,1201,10,1069,1422,2491
Roswell,Cumberland,1779,314,17,582,1491,6,2361,1805,23,2110,2079,4189
Roswell,SCobb,330,49,3,88,253,0,418,302,3,382,341,723
Roswell,Chamblee,3814,659,124,2567,5938,77,6381,6597,201,4597,8582,13179
Roswell,NWDeKalb,736,129,36,222,738,51,958,867,87,901,1011,1912
Roswell,NEDeKalb,956,177,9,439,926,11,1395,1103,20,1142,1376,2518
