FROM,TO,Work trips SOV,Work trips HOV,Work trips Transit,Non-work SOV,Non-work HOV,Non-work Transit,All SOV,All HOV,All Transit,Work trips All,Non-work All,All Trips
NFulton,NFulton,74524,13850,673,111476,199513,1050,186000,213363,1723,89047,312039,401086
NFulton,Roswell,16734,3159,129,19603,44480,235,36337,47639,364,20022,64318,84340
NFulton,SandySprings,6921,1199,284,2500,5892,184,9421,7091,468,8404,8576,16980
NFulton,Buckhead,2531,409,314,338,1074,63,2869,1483,377,3254,1475,4729
NFulton,NWAtlanta,394,92,42,58,79,12,452,171,54,528,149,677
NFulton,NEAtlanta,1371,246,296,229,635,108,1600,881,404,1913,972,2885
NFulton,SWAtlanta,311,56,49,57,96,18,368,152,67,416,171,587
NFulton,CBDAtlanta,789,179,520,105,363,89,894,542,609,1488,557,2045
NFulton,SEAtlanta,243,71,41,50,89,10,293,160,51,355,149,504
NFulton,SFulton,103,12,4,21,24,0,124,36,4,119,45,164
NFulton,Tri-Cities,244,55,24,46,102,5,290,157,29,323,153,476
NFulton,Shannon,97,19,9,20,32,0,117,51,9,125,52,177
NFulton,WCherokee,339,55,0,102,211,0,441,266,0,394,313,707
NFulton,NCherokee,274,46,0,81,204,0,355,250,0,320,285,605
NFulton,ECentCherokee,4797,858,5,2647,8056,8,7444,8914,13,5660,10711,16371
NFulton,Woodstock,3029,500,3,1714,4544,6,4743,5044,9,3532,6264,9796
NFulton,Airport,66,21,27,5,11,2,71,32,29,114,18,132
NFulton,NEClayton,136,31,2,35,73,3,171,104,5,169,111,280
NFulton,Riverdale,84,28,6,15,50,1,99,78,7,118,66,184
NFulton,SClayton,81,20,3,17,37,0,98,57,3,104,54,158
NFulton,NWCobb,1685,293,1,429,924,3,2114,1217,4,1979,1356,3335
NFulton,NECobb,5195,964,14,3080,8777,23,8275,9741,37,6173,11880,18053
NFulton,SWCobb,269,45,2,51,119,1,320,164,3,316,171,487
NFulton,Marietta,834,173,2,272,676,10,1106,849,12,1009,958,1967
NFulton,Cumberland,1751,353,18,322,835,4,2073,1188,22,2122,1161,3283
NFulton,SCobb,438,63,5,84,169,5,522,232,10,506,258,764
NFulton,Chamblee,4360,772,184,1398,3867,56,5758,4639,240,5316,5321,10637
NFulton,NWDeKalb,1057,181,33,215,716,28,1272,897,61,1271,959,2230
NFulton,NEDeKalb,1433,257,24,385,1003,12,1818,1260,36,1714,1400,3114
NFulton,Atlanta-DeKalb,147,19,18,34,101,4,181,120,22,184,139,323
NFulton,Decatur,132,23,16,28,34,7,160,57,23,171,69,240
NFulton,SWDeKalb,296,47,40,45,143,8,341,190,48,383,196,579
NFulton,SEDeKalb,341,61,16,77,131,1,418,192,17,418,209,627
NFulton,SDeKalb,247,50,9,48,103,1,295,153,10,306,152,458
NFulton,WDouglas,63,4,2,12,28,0,75,32,2,69,40,109
NFulton,EDouglas,123,13,3,28,45,1,151,58,4,139,74,213
NFulton,WFayette,14,2,0,6,15,0,20,17,0,16,21,37
NFulton,EFayette,38,11,0,8,59,0,46,70,0,49,67,116
NFulton,NGwinnett,4599,887,2,2114,6155,20,6713,7042,22,5488,8289,13777
NFulton,CentGwinnett,8686,1709,14,7524,18421,50,16210,20130,64,10409,25995,36404
NFulton,EGwinnett,785,146,1,160,396,3,945,542,4,932,559,1491
NFulton,Norcross,6672,1388,34,4006,10276,33,10678,11664,67,8094,14315,22409
NFulton,Lilburn,802,133,5,335,1018,5,1137,1151,10,940,1358,2298
NFulton,Snellville,794,151,1,205,575,4,999,726,5,946,784,1730
NFulton,NHenry,57,19,0,9,18,1,66,37,1,76,28,104
NFulton,EHenry,42,11,0,4,5,0,46,16,0,53,9,62
NFulton,SHenry,30,9,0,9,25,0,39,34,0,39,34,73
NFulton,SRockdale,50,8,0,9,52,0,59,60,0,58,61,119
NFulton,NRockdale,84,17,1,25,36,0,109,53,1,102,61,163
NFulton,NBarrow,212,35,0,47,128,0,259,163,0,247,175,422
NFulton,SBarrow,165,29,0,39,60,0,204,89,0,194,99,293
NFulton,NWBartow,40,12,0,11,65,0,51,77,0,52,76,128
NFulton,NEBartow,102,8,0,23,49,0,125,57,0,110,72,182
NFulton,SWBartow,51,11,0,23,67,0,74,78,0,62,90,152
