STATION,MODE,LAT,LONG,TIMEOFDAY,BOARDINGS,ALIGHTINGS
King Historical District,RAIL,33.75548968,-84.37435941,DAILY,11,5.99
Edgewood/Hilliard Streetc,RAIL,33.75438041,-84.37658011,DAILY,12,37
Sandy Springs,RAIL,33.93218729,-84.35208977,DAILY,3276.14,3779.57
North Springs,RAIL,33.94511896,-84.35726606,DAILY,8710.71,8401.9
Georgia State,RAIL,33.75008031,-84.38582967,DAILY,7909,7689.9
Inman Park/Reynoldstown,RAIL,33.75769205,-84.35251524,DAILY,3017.88,2993.6
Edgewood/Candler Park,RAIL,33.76193601,-84.33963921,DAILY,1842.12,1796.48
East Lake,RAIL,33.76519723,-84.31276946,DAILY,1762.51,1821.38
Decatur,RAIL,33.77468883,-84.29574279,DAILY,4172.62,4318.15
Avondale,RAIL,33.77514262,-84.28227057,DAILY,4366.5,4336.54
Kensington,RAIL,33.77265675,-84.25189439,DAILY,7683.14,7949.68
Indian Creek,RAIL,33.76982934,-84.22965543,DAILY,8150.21,7469.91
Dome/GWCC/Philips Arena/C,RAIL,33.75610139,-84.39712121,DAILY,2798.22,2893.28
Vine City,RAIL,33.75655043,-84.40401403,DAILY,1708.6,1569.97
Ashby,RAIL,33.75644578,-84.41724351,DAILY,2630.32,2723.6
West Lake,RAIL,33.75329302,-84.44534298,DAILY,1450.72,1437.45
Hamilton E Holmes,RAIL,33.75447364,-84.47012807,DAILY,7875.71,7685.53
Bankhead,RAIL,33.77218678,-84.42893117,DAILY,1835.6,1790.48
Peachtree Center,RAIL,33.75967751,-84.38756755,DAILY,11689.34,11776.74
Civic Center,RAIL,33.76648821,-84.38749686,DAILY,6357.56,5942.44
Midtown,RAIL,33.78111994,-84.38633917,DAILY,10645.94,11299.04
Arts Center,RAIL,33.78918261,-84.38732614,DAILY,13124.92,13416.16
Lindbergh Center,RAIL,33.8224931,-84.36959926,DAILY,18573.82,17827.96
Lenox,RAIL,33.84538918,-84.35809299,DAILY,4440.99,4276.32
Brookhaven/Oglethorpe Uni,RAIL,33.85995051,-84.33936845,DAILY,2695.59,2657.36
Chamblee,RAIL,33.88746349,-84.30635678,DAILY,3556.01,3577.4
Buckhead,RAIL,33.84806247,-84.36785871,DAILY,5114.36,6396.7
Medical Center,RAIL,33.91076675,-84.35150426,DAILY,3651.97,4198.93
Dunwoody,RAIL,33.92129246,-84.34435935,DAILY,5484.54,6040.35
Garnett,RAIL,33.74883024,-84.39563408,DAILY,3383.72,3375.76
West End,RAIL,33.73581105,-84.41366372,DAILY,7267.04,7993.54
Oakland City,RAIL,33.71704952,-84.42512465,DAILY,4976.26,4874.5
Lakewood/Fort McPherson,RAIL,33.70031817,-84.42886315,DAILY,2854.6,2764.62
East Point,RAIL,33.67685698,-84.44074954,DAILY,6475.1,7244.08
College Park,RAIL,33.65153306,-84.44877472,DAILY,12275.54,11771
Auburn/Piedmont Streetcar,RAIL,33.7555401,-84.38222988,DAILY,19,21
Peachtree Center Streetca,RAIL,33.75788041,-84.38759022,DAILY,25,28
Carnegie/Spring Streetcar,RAIL,33.75925987,-84.38944947,DAILY,23,6
Woodruff Park Streetcar,RAIL,33.75630023,-84.38845983,DAILY,3,5
Luckie/Cone Streetcar,RAIL,33.75788993,-84.39008967,DAILY,9,16
Centennial Olympic Park S,RAIL,33.75923989,-84.3920903,DAILY,37,37
Sweet Auburn Market Stree,RAIL,33.75440038,-84.3802706,DAILY,23,20
King Memorial,RAIL,33.75000421,-84.37543042,DAILY,1685.75,1917.38
Airport,RAIL,33.64068199,-84.44620592,DAILY,11788.23,8623.74
North Avenue,RAIL,33.77256732,-84.38699937,DAILY,9129.68,8915.67
Doraville,RAIL,33.90298663,-84.28025261,DAILY,6836.57,7178.59
Five Points (Gold/Red),RAIL,33.75386763,-84.39159681,DAILY,45223.45,45199.68
Five Points (Blue/Green),RAIL,33.75387048,-84.3915608,DAILY,36054.29,36549.87
Hurt Park Streetcar,RAIL,33.75447459,-84.3852735,DAILY,46,33
Park Place Streetcar,RAIL,33.75506728,-84.38820242,DAILY,32,23
Dobbs Plaza Streetcar,RAIL,33.75552012,-84.37887016,DAILY,7,3
