"STATION","MODE","LAT","LONG","TIMEOFDAY","BOARDINGS","ALIGHTINGS"
"7501","BUS",33.744519999997,-84.4175400000124,"DAILY",1,1
"7502","BUS",33.7510999999862,-84.4175200000128,"DAILY",1,0
"7503","BUS",33.7522100000132,-84.4175199999879,"DAILY",0,3
"7511","BUS",33.727280000002,-84.4174699999994,"DAILY",0,2
"7512","BUS",33.7308199999961,-84.4232500000084,"DAILY",0,7
"7514","BUS",33.7332300000008,-84.4272299999862,"DAILY",0,1
"7521","BUS",33.7435600000013,-84.4039900000099,"DAILY",3,0
"7524","BUS",33.7415600000084,-84.4029499999872,"DAILY",1,6
"7525","BUS",33.7381199999906,-84.4016300000146,"DAILY",4,5
"7526","BUS",33.7305200000074,-84.4016699999902,"DAILY",2,7
"7527","BUS",33.722149999989,-84.4016600000116,"DAILY",0,0
"7528","BUS",33.7397700000117,-84.3549200000116,"DAILY",121,118
"7529","BUS",33.7397600000109,-84.3582700000105,"DAILY",48,39
"7541","BUS",33.7419399999913,-84.3945099999912,"DAILY",4,5
"7542","BUS",33.7419899999884,-84.3982099999971,"DAILY",1,0
"7543","BUS",33.7365899999878,-84.3736299999985,"DAILY",28,25
"7544","BUS",33.736650000004,-84.3764499999943,"DAILY",35,34
"7545","BUS",33.7367100000025,-84.3784199999918,"DAILY",17,23
"7548","BUS",33.7367600000085,-84.3823099999982,"DAILY",120,112
"7550","BUS",33.7368400000041,-84.3945899999882,"DAILY",1,58
"7552","BUS",33.7370200000023,-84.4016299999852,"DAILY",1,2
"7553","BUS",33.7365799999921,-84.4047499999868,"DAILY",2,2
"7554","BUS",33.7381799999915,-84.4101800000161,"DAILY",41,45
"7555","BUS",33.7382199999944,-84.4123600000005,"DAILY",28,32
"7556","BUS",33.7382399999986,-84.4140600000127,"DAILY",895.98,946.03
"7557","BUS",33.7382400000094,-84.415679999987,"DAILY",42,34
"7558","BUS",33.738000000002,-84.417710000001,"DAILY",56,51
"7559","BUS",33.7385799999906,-84.4272100000106,"DAILY",259,272
"7562","BUS",33.7429600000044,-84.4373599999881,"DAILY",5,7
"7563","BUS",33.7451400000079,-84.4395899999983,"DAILY",0,0
"7564","BUS",33.7458800000005,-84.4403300000126,"DAILY",0,0
"7565","BUS",33.7474299999952,-84.441819999995,"DAILY",0,0
"7566","BUS",33.7506700000004,-84.4461100000146,"DAILY",0,0
"7569","BUS",33.7304,-84.3879399999973,"DAILY",2,117
"7570","BUS",33.7303300000073,-84.3799499999875,"DAILY",1,0
"7572","BUS",33.7302399999964,-84.3736200000063,"DAILY",84,83
"7576","BUS",33.7368700000085,-84.3908399999941,"DAILY",3,3
"7577","BUS",33.7555299999919,-84.379410000007,"DAILY",0,1
"7578","BUS",33.7497600000073,-84.3795200000154,"DAILY",72,74
"7579","BUS",33.7444699999876,-84.3792999999864,"DAILY",61,59
"7581","BUS",33.7428399999867,-84.3792999999952,"DAILY",7,10
"7586","BUS",33.7315000000056,-84.3784799999876,"DAILY",5,1
"7587","BUS",33.7303100000121,-84.3785000000155,"DAILY",14,6
"7588","BUS",33.7265099999867,-84.3785299999848,"DAILY",95,10
"7589","BUS",33.7220599999961,-84.378630000007,"DAILY",27,32
"7590","BUS",33.720160000002,-84.3787099999924,"DAILY",1,26
"7595","BUS",33.7336899999929,-84.3648900000051,"DAILY",59,60
"7596","BUS",33.7293300000018,-84.3644400000011,"DAILY",39,45
"7601","BUS",33.7639500000037,-84.3678000000015,"DAILY",20,31
"7604","BUS",33.7506799999911,-84.3735699999838,"DAILY",0,0
"King Historical District","RAIL",33.7554899999866,-84.3743599999976,"DAILY",6.99,5
"7610","BUS",33.7731599999868,-84.3727899999994,"DAILY",6,7
