ZONE,PER,QUANTITY
1,PER01,NULL
1,PER02,1
1,PER03,2
1,PER04,4
1,PER05,13
1,PER06,23
1,PER07,21
1,PER08,42
1,PER09,69
1,PER10,102
1,PER11,135
1,PER12,146
1,PER13,166
1,PER14,171
1,PER15,175
1,PER16,185
1,PER17,182
1,PER18,200
1,PER19,230
1,PER20,219
1,PER21,204
1,PER22,200
1,PER23,197
1,PER24,179
1,PER25,169
1,PER26,164
1,PER27,163
1,PER28,139
1,PER29,140
1,PER30,146
1,PER31,150
1,PER32,148
1,PER33,130
1,PER34,117
1,PER35,117
1,PER36,85
1,PER37,60
1,PER38,44
1,PER39,26
1,PER40,27
1,PER41,24
1,PER42,21
1,PER43,17
1,PER44,12
1,PER45,8
1,PER46,5
1,PER47,1
1,PER48,NULL
2,PER01,NULL
2,PER02,5
2,PER03,7
2,PER04,12
2,PER05,20
2,PER06,28
2,PER07,42
2,PER08,85
2,PER09,162
2,PER10,247
2,PER11,287
2,PER12,296
2,PER13,301
2,PER14,323
2,PER15,330
2,PER16,337
2,PER17,343
2,PER18,377
2,PER19,382
2,PER20,384
2,PER21,381
2,PER22,369
2,PER23,356
2,PER24,337
2,PER25,313
2,PER26,288
2,PER27,276
2,PER28,254
2,PER29,246
2,PER30,238
2,PER31,209
2,PER32,194
2,PER33,165
2,PER34,163
2,PER35,127
2,PER36,101
2,PER37,85
2,PER38,56
2,PER39,42
2,PER40,21
2,PER41,9
2,PER42,8
2,PER43,8
2,PER44,9
2,PER45,8
2,PER46,4
2,PER47,4
2,PER48,3
3,PER01,5
3,PER02,21
3,PER03,32
3,PER04,50
3,PER05,88
3,PER06,119
3,PER07,221
3,PER08,451
3,PER09,971
3,PER10,1514
3,PER11,1831
3,PER12,1891
3,PER13,1944
3,PER14,2029
3,PER15,2113
3,PER16,2205
3,PER17,2244
3,PER18,2308
3,PER19,2297
3,PER20,2324
3,PER21,2333
3,PER22,2257
3,PER23,2268
3,PER24,2270
3,PER25,2145
3,PER26,2062
3,PER27,1879
3,PER28,1686
3,PER29,1606
3,PER30,1545
3,PER31,1503
3,PER32,1337
3,PER33,1253
3,PER34,1129
3,PER35,1032
3,PER36,795
3,PER37,574
3,PER38,411
3,PER39,307
3,PER40,241
3,PER41,169
3,PER42,123
3,PER43,85
3,PER44,59
3,PER45,48
3,PER46,37
3,PER47,26
3,PER48,14
4,PER01,2
4,PER02,2
4,PER03,4
4,PER04,7
4,PER05,18
4,PER06,20
4,PER07,20
4,PER08,67
4,PER09,126
4,PER10,199
4,PER11,225
4,PER12,233
4,PER13,268
4,PER14,275
4,PER15,280
4,PER16,281
4,PER17,294
4,PER18,315
4,PER19,357
4,PER20,356
4,PER21,319
4,PER22,306
4,PER23,285
4,PER24,289
4,PER25,280
4,PER26,282
4,PER27,267
4,PER28,236
4,PER29,218
4,PER30,232
4,PER31,231
4,PER32,230
4,PER33,218
4,PER34,192
4,PER35,180
4,PER36,134
4,PER37,109
4,PER38,71
4,PER39,51
4,PER40,35
4,PER41,27
4,PER42,20
4,PER43,15
4,PER44,13
4,PER45,10
4,PER46,5
4,PER47,4
4,PER48,4
5,PER01,NULL
5,PER02,4
5,PER03,5
5,PER04,16
5,PER05,21
5,PER06,35
5,PER07,48
5,PER08,97
5,PER09,154
5,PER10,212
5,PER11,248
5,PER12,253
5,PER13,279
5,PER14,295
5,PER15,322
5,PER16,336
5,PER17,346
5,PER18,381
5,PER19,417
5,PER20,434
5,PER21,406
5,PER22,376
5,PER23,375
5,PER24,352
5,PER25,336
5,PER26,301
5,PER27,305
5,PER28,284
5,PER29,294
5,PER30,308
5,PER31,326
5,PER32,324
5,PER33,305
5,PER34,290
5,PER35,257
5,PER36,208
5,PER37,144
5,PER38,114
5,PER39,89
5,PER40,58
5,PER41,32
5,PER42,22
5,PER43,22
5,PER44,11
5,PER45,9
5,PER46,9
5,PER47,5
5,PER48,3
6,PER01,12
6,PER02,12
6,PER03,12
6,PER04,14
6,PER05,13
6,PER06,18
6,PER07,36
6,PER08,47
6,PER09,73
6,PER10,103
6,PER11,124
6,PER12,155
6,PER13,192
6,PER14,208
6,PER15,239
6,PER16,273
6,PER17,302
6,PER18,324
6,PER19,341
6,PER20,372
6,PER21,341
6,PER22,316
6,PER23,300
6,PER24,272
6,PER25,264
6,PER26,260
6,PER27,264
6,PER28,244
6,PER29,227
6,PER30,218
6,PER31,217
6,PER32,213
6,PER33,204
6,PER34,182
6,PER35,146
6,PER36,121
6,PER37,98
6,PER38,74
6,PER39,53
6,PER40,29
6,PER41,22
6,PER42,12
6,PER43,11
6,PER44,9
6,PER45,3
6,PER46,2
6,PER47,2
6,PER48,2
7,PER01,4
7,PER02,11
7,PER03,17
7,PER04,24
7,PER05,48
7,PER06,75
7,PER07,127
7,PER08,201
7,PER09,340
7,PER10,453
7,PER11,555
7,PER12,609
7,PER13,663
7,PER14,680
7,PER15,729
7,PER16,774
7,PER17,808
7,PER18,898
7,PER19,920
7,PER20,949
7,PER21,914
7,PER22,873
7,PER23,870
7,PER24,864
7,PER25,831
7,PER26,793
7,PER27,767
7,PER28,689
7,PER29,664
7,PER30,623
7,PER31,576
7,PER32,556
7,PER33,522
7,PER34,456
7,PER35,394
7,PER36,318
7,PER37,246
7,PER38,172
7,PER39,108
7,PER40,76
7,PER41,54
7,PER42,42
7,PER43,33
7,PER44,29
7,PER45,18
7,PER46,19
7,PER47,9
7,PER48,5
8,PER01,NULL
8,PER02,1
8,PER03,2
8,PER04,2
8,PER05,8
8,PER06,11
8,PER07,18
8,PER08,36
8,PER09,65
8,PER10,93
8,PER11,107
8,PER12,118
8,PER13,129
8,PER14,138
8,PER15,134
8,PER16,143
8,PER17,160
8,PER18,174
8,PER19,180
8,PER20,191
8,PER21,188
8,PER22,166
8,PER23,148
8,PER24,147
8,PER25,139
8,PER26,124
8,PER27,113
8,PER28,99
8,PER29,99
8,PER30,92
8,PER31,81
8,PER32,89
8,PER33,85
8,PER34,84
8,PER35,77
8,PER36,61
8,PER37,47
8,PER38,40
8,PER39,36
8,PER40,25
8,PER41,22
8,PER42,16
8,PER43,12
8,PER44,8
8,PER45,6
8,PER46,3
8,PER47,1
8,PER48,1
9,PER01,NULL
9,PER02,1
9,PER03,1
9,PER04,5
9,PER05,4
9,PER06,5
9,PER07,8
9,PER08,17
9,PER09,30
9,PER10,48
9,PER11,66
9,PER12,71
9,PER13,70
9,PER14,73
9,PER15,78
9,PER16,81
9,PER17,89
9,PER18,104
9,PER19,104
9,PER20,108
9,PER21,101
9,PER22,96
9,PER23,88
9,PER24,74
9,PER25,78
9,PER26,81
9,PER27,79
9,PER28,70
9,PER29,73
9,PER30,61
9,PER31,62
9,PER32,61
9,PER33,66
9,PER34,42
9,PER35,24
9,PER36,24
9,PER37,27
9,PER38,25
9,PER39,15
9,PER40,10
9,PER41,3
9,PER42,3
9,PER43,3
9,PER44,4
9,PER45,4
9,PER46,3
9,PER47,1
9,PER48,2
10,PER01,NULL
10,PER02,3
10,PER03,6
10,PER04,9
10,PER05,24
10,PER06,39
10,PER07,84
10,PER08,243
10,PER09,587
10,PER10,972
10,PER11,1102
10,PER12,1109
10,PER13,1072
10,PER14,1068
10,PER15,1081
10,PER16,1076
10,PER17,1093
10,PER18,1116
10,PER19,1135
10,PER20,1135
10,PER21,1118
10,PER22,1119
10,PER23,1124
10,PER24,1132
10,PER25,1037
10,PER26,923
10,PER27,800
10,PER28,649
10,PER29,547
10,PER30,489
10,PER31,407
10,PER32,334
10,PER33,290
10,PER34,232
10,PER35,185
10,PER36,132
10,PER37,99
10,PER38,74
10,PER39,54
10,PER40,40
10,PER41,34
10,PER42,31
10,PER43,30
10,PER44,28
10,PER45,23
10,PER46,20
10,PER47,12
10,PER48,7
11,PER01,NULL
11,PER02,1
11,PER03,1
11,PER04,3
11,PER05,2
11,PER06,3
11,PER07,9
11,PER08,13
11,PER09,31
11,PER10,46
11,PER11,61
11,PER12,61
11,PER13,61
11,PER14,65
11,PER15,69
11,PER16,73
11,PER17,78
11,PER18,91
11,PER19,93
11,PER20,98
11,PER21,91
11,PER22,92
