FROM,TO,Work trips SOV,Work trips HOV,Work trips Transit,Non-work SOV,Non-work HOV,Non-work Transit,All SOV,All HOV,All Transit,Work trips All,Non-work All,All Trips
NFulton,NFulton,78317,14347,1482,128629,214533,1862,206946,228880,3344,94146,345024,439170
NFulton,Roswell,16927,2998,408,23424,48474,550,40351,51472,958,20333,72448,92781
NFulton,SandySprings,8419,1371,503,3127,6492,241,11546,7863,744,10293,9860,20153
NFulton,Buckhead,3307,465,450,437,1082,74,3744,1547,524,4222,1593,5815
NFulton,NWAtlanta,526,95,68,96,167,11,622,262,79,689,274,963
NFulton,NEAtlanta,1706,299,453,242,699,135,1948,998,588,2458,1076,3534
NFulton,SWAtlanta,373,74,77,85,171,20,458,245,97,524,276,800
NFulton,CBDAtlanta,910,190,680,134,447,96,1044,637,776,1780,677,2457
NFulton,SEAtlanta,339,78,69,64,118,8,403,196,77,486,190,676
NFulton,SFulton,92,19,3,36,26,1,128,45,4,114,63,177
NFulton,Tri-Cities,275,59,48,47,59,8,322,118,56,382,114,496
NFulton,Shannon,84,9,9,21,63,3,105,72,12,102,87,189
NFulton,WCherokee,445,63,0,106,445,0,551,508,0,508,551,1059
NFulton,NCherokee,378,70,0,131,294,0,509,364,0,448,425,873
NFulton,ECentCherokee,6685,1209,13,4361,12116,14,11046,13325,27,7907,16491,24398
NFulton,Woodstock,3446,643,20,2526,6003,18,5972,6646,38,4109,8547,12656
NFulton,Airport,76,19,39,14,13,1,90,32,40,134,28,162
NFulton,NEClayton,141,50,6,31,49,1,172,99,7,197,81,278
NFulton,Riverdale,92,25,5,13,78,0,105,103,5,122,91,213
NFulton,SClayton,76,19,2,15,30,1,91,49,3,97,46,143
NFulton,NWCobb,1403,272,9,462,1148,23,1865,1420,32,1684,1633,3317
NFulton,NECobb,5065,884,30,3523,8893,20,8588,9777,50,5979,12436,18415
NFulton,SWCobb,257,37,1,56,157,1,313,194,2,295,214,509
NFulton,Marietta,838,170,6,302,541,30,1140,711,36,1014,873,1887
NFulton,Cumberland,2153,338,38,382,839,12,2535,1177,50,2529,1233,3762
NFulton,SCobb,466,76,11,102,150,2,568,226,13,553,254,807
NFulton,Chamblee,5433,881,318,1651,4279,83,7084,5160,401,6632,6013,12645
NFulton,NWDeKalb,1255,197,140,260,1025,172,1515,1222,312,1592,1457,3049
NFulton,NEDeKalb,1510,284,30,361,918,7,1871,1202,37,1824,1286,3110
NFulton,Atlanta-DeKalb,153,27,23,19,89,0,172,116,23,203,108,311
NFulton,Decatur,176,21,29,30,85,11,206,106,40,226,126,352
NFulton,SWDeKalb,359,64,44,58,117,11,417,181,55,467,186,653
NFulton,SEDeKalb,382,58,11,78,139,5,460,197,16,451,222,673
NFulton,SDeKalb,258,55,15,79,122,3,337,177,18,328,204,532
NFulton,WDouglas,66,7,0,16,30,0,82,37,0,73,46,119
NFulton,EDouglas,153,22,3,55,94,0,208,116,3,178,149,327
NFulton,WFayette,17,0,0,5,9,0,22,9,0,17,14,31
NFulton,EFayette,41,6,0,13,38,0,54,44,0,47,51,98
NFulton,NGwinnett,5563,988,1,2690,7574,13,8253,8562,14,6552,10277,16829
NFulton,CentGwinnett,9613,1827,17,9310,21693,25,18923,23520,42,11457,31028,42485
NFulton,EGwinnett,806,141,1,181,393,2,987,534,3,948,576,1524
NFulton,Norcross,6829,1323,29,4870,12064,41,11699,13387,70,8181,16975,25156
NFulton,Lilburn,934,160,4,397,954,6,1331,1114,10,1098,1357,2455
NFulton,Snellville,801,149,3,224,449,4,1025,598,7,953,677,1630
NFulton,NHenry,106,11,3,19,22,0,125,33,3,120,41,161
NFulton,EHenry,53,5,1,19,28,0,72,33,1,59,47,106
NFulton,SHenry,51,9,0,17,37,0,68,46,0,60,54,114
NFulton,SRockdale,71,13,1,17,30,0,88,43,1,85,47,132
NFulton,NRockdale,102,16,0,31,55,0,133,71,0,118,86,204
NFulton,NBarrow,316,37,0,55,69,1,371,106,1,353,125,478
NFulton,SBarrow,203,34,0,40,122,0,243,156,0,237,162,399
NFulton,NWBartow,44,10,0,9,51,0,53,61,0,54,60,114
NFulton,NEBartow,84,8,0,31,49,0,115,57,0,92,80,172
NFulton,SWBartow,58,13,0,19,53,0,77,66,0,71,72,143
NFulton,Cartersville,203,38,1,72,148,0,275,186,1,242,220,462
NFulton,NECarroll,10,1,0,6,10,0,16,11,0,11,16,27
NFulton,WCarroll,0,0,0,1,0,0,1,0,0,0,1,1
NFulton,CentralCarroll,3,0,0,2,5,0,5,5,0,3,7,10
NFulton,SECarroll,1,0,0,0,0,0,1,0,0,1,0,1
NFulton,WCoweta,8,1,0,2,0,0,10,1,0,9,2,11
NFulton,NCoweta,16,3,1,10,36,0,26,39,1,20,46,66
NFulton,SCoweta,1,0,0,1,1,0,2,1,0,1,2,3
NFulton,SECoweta,0,1,0,1,5,0,1,6,0,1,6,7
NFulton,NForsyth,4223,674,0,740,2187,3,4963,2861,3,4897,2930,7827
NFulton,Cumming,13444,2301,39,5402,15210,37,18846,17511,76,15784,20649,36433
NFulton,SForsyth,16326,3060,109,18634,41710,109,34960,44770,218,19495,60453,79948
NFulton,NHall,314,53,0,51,105,0,365,158,0,367,156,523
NFulton,Gainesville,667,128,0,136,278,0,803,406,0,795,414,1209
NFulton,SHall,829,141,0,162,315,0,991,456,0,970,477,1447
NFulton,WNewton,87,12,0,22,22,0,109,34,0,99,44,143
NFulton,ENewton,8,0,0,4,12,0,12,12,0,8,16,24
NFulton,NPaulding,131,20,0,38,78,0,169,98,0,151,116,267
NFulton,WPaulding,19,4,0,11,32,0,30,36,0,23,43,66
NFulton,EPaulding,256,34,0,62,140,0,318,174,0,290,202,492
NFulton,NSpalding,6,0,0,0,3,0,6,3,0,6,3,9
NFulton,SSpalding,1,0,0,1,1,0,2,1,0,1,2,3
NFulton,WWalton,190,23,0,54,91,0,244,114,0,213,145,358
NFulton,EWalton,101,16,0,36,54,0,137,70,0,117,90,207
Roswell,NFulton,17224,3141,422,23408,48888,528,40632,52029,950,20787,72824,93611
Roswell,Roswell,24730,4389,530,61100,110897,1353,85830,115286,1883,29649,173350,202999
Roswell,SandySprings,8693,1401,674,6990,14230,572,15683,15631,1246,10768,21792,32560
Roswell,Buckhead,3199,445,799,602,1404,203,3801,1849,1002,4443,2209,6652
Roswell,NWAtlanta,484,78,101,81,190,64,565,268,165,663,335,998
Roswell,NEAtlanta,1656,240,731,221,630,223,1877,870,954,2627,1074,3701
Roswell,SWAtlanta,312,53,87,62,147,26,374,200,113,452,235,687
Roswell,CBDAtlanta,764,139,1096,106,378,235,870,517,1331,1999,719,2718
Roswell,SEAtlanta,266,84,85,49,78,26,315,162,111,435,153,588
Roswell,SFulton,100,9,4,17,94,0,117,103,4,113,111,224
Roswell,Tri-Cities,256,41,65,44,47,10,300,88,75,362,101,463
Roswell,Shannon,78,8,6,20,56,0,98,64,6,92,76,168
Roswell,WCherokee,185,29,0,65,197,0,250,226,0,214,262,476
Roswell,NCherokee,112,20,0,44,66,0,156,86,0,132,110,242
Roswell,ECentCherokee,2372,433,5,1288,4066,6,3660,4499,11,2810,5360,8170
Roswell,Woodstock,2595,444,12,1835,5072,6,4430,5516,18,3051,6913,9964
