FROM ,TO ,TOTAL,SHORT,LONG
District.1,District.1,188972.0313,170138.6406,18833.40039
District.1,District.2,12435.0293,3558.778809,8876.250977
District.1,District.3,2159.491943,677.151001,1482.34082
District.1,District.4,3074.717285,723.305176,2351.412109
District.1,District.5,130.031555,0,130.031555
District.1,District.6,357.596741,0,357.596741
District.1,District.7,215.63504,0,215.63504
District.1,District.8,94.774483,0,94.774483
District.1,Colorado,66.514374,0,66.514374
District.1,Iowa,920.48053,167.903976,752.576538
District.1,Kansas,344.396484,151.051422,193.345047
District.1,S.Dakota,31.445799,0,31.445799
District.1,Wyoming,37.930958,0,37.930958
District.2,District.1,12452.85938,3609.548828,8843.310547
District.2,District.2,304586.0625,299679.3125,4906.763672
District.2,District.3,3016.416748,701.219421,2315.197266
District.2,District.4,996.845703,0,996.845703
District.2,District.5,90.752846,0,90.752846
District.2,District.6,271.914032,0,271.914032
District.2,District.7,120.645454,0,120.645454
District.2,District.8,81.309799,0,81.309799
District.2,Colorado,91.192169,0,91.192169
District.2,Iowa,7067.476074,6151.777832,915.697998
District.2,Kansas,165.469009,0,165.469009
District.2,S.Dakota,78.523697,0,78.523697
District.2,Wyoming,44.836399,0,44.836399
District.3,District.1,2147.131104,681.027283,1466.10376
District.3,District.2,3049.807861,707.105042,2342.702881
District.3,District.3,54553.26563,45858.46875,8694.796875
District.3,District.4,1777.670776,913.214539,864.456238
District.3,District.5,35.381748,0,35.381748
District.3,District.6,91.675407,0,91.675407
District.3,District.7,67.061981,0,67.061981
District.3,District.8,589.14209,96.621437,492.52063
District.3,Colorado,13.782245,0,13.782245
District.3,Iowa,2000.24646,1586.53418,413.71225
District.3,Kansas,35.67078,0,35.67078
District.3,S.Dakota,223.092773,92.22271,130.870056
District.3,Wyoming,7.403677,0,7.403677
District.4,District.1,3085.984619,697.014099,2388.970703
District.4,District.2,1012.329346,0,1012.329346
District.4,District.3,1740.647095,884.818848,855.828247
District.4,District.4,60556.07422,50355.25,10200.8252
District.4,District.5,200.12027,0,200.12027
District.4,District.6,2137.248779,286.517181,1850.731567
District.4,District.7,3173.393311,1466.886719,1706.506714
District.4,District.8,416.012634,174.848526,241.164124
District.4,Colorado,75.491943,0,75.491943
District.4,Iowa,287.167664,0,287.167664
District.4,Kansas,201.289749,62.802418,138.487335
District.4,S.Dakota,23.225176,0,23.225176
District.4,Wyoming,71.025169,0,71.025169
District.5,District.1,133.195251,0,133.195251
District.5,District.2,86.666183,0,86.666183
District.5,District.3,39.964535,0,39.964535
District.5,District.4,177.423355,0,177.423355
District.5,District.5,22351.80664,18977.19922,3374.60791
District.5,District.6,617.930908,139.190018,478.740906
District.5,District.7,84.073769,0,84.073769
District.5,District.8,78.388046,17.908363,60.479687
District.5,Colorado,218.548904,63.911247,154.63765
District.5,Iowa,64.349319,0,64.349319
District.5,Kansas,21.941502,0,21.941502
District.5,S.Dakota,95.529022,30.597923,64.931099
District.5,Wyoming,302.519501,136.541153,165.978348
District.6,District.1,364.804596,0,364.804596
District.6,District.2,287.934845,0,287.934845
District.6,District.3,99.390556,0,99.390556
District.6,District.4,2111.359619,288.242371,1823.11731
District.6,District.5,632.057861,140.45929,491.598541
District.6,District.6,29172.875,25753.73828,3419.136963
District.6,District.7,2020.26416,866.763489,1153.50061
District.6,District.8,289.663788,23.93746,265.726349
District.6,Colorado,115.64962,27.968874,87.680748
District.6,Iowa,117.389786,0,117.389786
District.6,Kansas,46.779831,0,46.779831
District.6,S.Dakota,16.121641,0,16.121641
District.6,Wyoming,93.990555,0,93.990555
District.7,District.1,204.208511,0,204.208511
District.7,District.2,122.501656,0,122.501656
District.7,District.3,69.030525,0,69.030525
District.7,District.4,3193.469727,1489.361084,1704.108765
District.7,District.5,89.543152,0,89.543152
District.7,District.6,1985.956787,863.299988,1122.65686
District.7,District.7,15795.24707,13424.125,2371.121826
District.7,District.8,29.870306,0,29.870306
District.7,Colorado,69.120148,18.593338,50.526806
District.7,Iowa,22.084015,0,22.084015
District.7,Kansas,129.407578,71.71312,57.694466
District.7,S.Dakota,3.158619,0,3.158619
District.7,Wyoming,7.618129,0,7.618129
District.8,District.1,83.425179,0,83.425179
District.8,District.2,84.280312,0,84.280312
District.8,District.3,580.583557,91.712776,488.870789
District.8,District.4,428.119629,177.370987,250.748642
District.8,District.5,74.696304,19.221451,55.474854
District.8,District.6,278.632477,25.244036,253.388428
District.8,District.7,36.532871,0,36.532871
District.8,District.8,5780.846191,4733.558594,1047.287354
District.8,Colorado,5.368267,0,5.368267
District.8,Iowa,27.498116,0,27.498116
District.8,Kansas,9.031733,0,9.031733
District.8,S.Dakota,79.330711,43.742031,35.588684
District.8,Wyoming,2.47939,0,2.47939
Colorado,District.1,32.565186,0,32.565186
Colorado,District.2,47.06773,0,47.06773
Colorado,District.3,5.865961,0,5.865961
Colorado,District.4,34.123558,0,34.123558
Colorado,District.5,99.406433,28.673412,70.733017
Colorado,District.6,49.048111,10.304397,38.743713
Colorado,District.7,31.30522,8.475274,22.829947
Colorado,District.8,2.17979,0,2.17979
Colorado,Colorado,,,0
Colorado,Iowa,2822.284668,0,2822.284668
Colorado,Kansas,4419.626465,9.981788,4409.644531
Colorado,S.Dakota,94.799576,0,94.799576
Colorado,Wyoming,18016.85547,0,18016.85547
