FROM ,TO ,TOTAL,SHORT,LONG
District.1,District.1,421486.625,380228.3125,41258.30469
District.1,District.2,26414.28711,6438.577148,19975.71094
District.1,District.3,3498.054199,1788.045166,1710.009033
District.1,District.4,4876.847168,1646.040527,3230.806641
District.1,District.5,0,0,0
District.1,District.6,0,0,0
District.1,District.7,0,0,0
District.1,District.8,0,0,0
District.1,Colorado,0.000007,0,0.000007
District.1,Iowa,565.082886,3.877883,561.205017
District.1,Kansas,549.660034,336.208191,213.451874
District.1,South.Dakota,0,0,0
District.1,Wyoming,0.000035,0,0.000035
District.2,District.1,26012.42383,6285.459961,19726.96484
District.2,District.2,513913.4688,501029.9063,12883.56641
District.2,District.3,4242.582031,1219.913208,3022.668701
District.2,District.4,10,0,10
District.2,District.5,0,0,0
District.2,District.6,0,0,0
District.2,District.7,0,0,0
District.2,District.8,0,0,0
District.2,Colorado,0.000814,0,0.000814
District.2,Iowa,42510.04688,41645.92188,864.124512
District.2,Kansas,1.453443,0,1.453443
District.2,South.Dakota,0.020969,0,0.020969
District.2,Wyoming,0.004162,0,0.004162
District.3,District.1,3649.555664,1824.255127,1825.300415
District.3,District.2,6263.749512,2166.889404,4096.859863
District.3,District.3,122147.2188,96194.17188,25953.04883
District.3,District.4,5352.125488,3196.805664,2155.320068
District.3,District.5,0,0,0
District.3,District.6,0,0,0
District.3,District.7,0,0,0
District.3,District.8,759.05896,239.459213,519.599731
District.3,Colorado,0.000009,0,0.000009
District.3,Iowa,2193.41748,1720.979004,472.438385
District.3,Kansas,0.002604,0,0.002604
District.3,South.Dakota,173.081985,37.4589,135.623077
District.3,Wyoming,0.000044,0,0.000044
District.4,District.1,4616.62793,1463.560425,3153.067383
District.4,District.2,0,0,0
District.4,District.3,5340.326172,3129.568359,2210.757813
District.4,District.4,151356.0625,115938.7031,35417.35938
District.4,District.5,0,0,0
District.4,District.6,3641.623291,857.890137,2783.733398
District.4,District.7,5510.29248,2753.22583,2757.066895
District.4,District.8,1125.661255,833.306335,292.35495
District.4,Colorado,0,0,0
District.4,Iowa,0,0,0
District.4,Kansas,179.246399,129.965576,49.28083
District.4,South.Dakota,0,0,0
District.4,Wyoming,0,0,0
District.5,District.1,0,0,0
District.5,District.2,0,0,0
District.5,District.3,0,0,0
District.5,District.4,0,0,0
District.5,District.5,73866.76563,62189.84375,11676.92481
District.5,District.6,604.949829,326.663696,278.286133
District.5,District.7,62.081104,0,62.081104
District.5,District.8,60.704781,49.656921,11.047858
District.5,Colorado,73.924149,40.503868,33.42028
District.5,Iowa,0.246164,0,0.246164
District.5,Kansas,0.191777,0,0.191777
District.5,South.Dakota,285.700317,123.165466,162.534851
District.5,Wyoming,486.855255,381.238922,105.616348
District.6,District.1,0,0,0
District.6,District.2,0,0,0
District.6,District.3,0,0,0
District.6,District.4,3590.745117,891.862732,2698.882324
District.6,District.5,629.238647,315.662842,313.575836
District.6,District.6,52040.49609,42512.41797,9528.079102
District.6,District.7,5377.442871,2821.557861,2555.88501
District.6,District.8,550.140625,77.915619,472.225037
District.6,Colorado,1.679864,0.346185,1.333678
District.6,Iowa,0,0,0
District.6,Kansas,0,0,0
District.6,South.Dakota,0,0,0
District.6,Wyoming,0,0,0
District.7,District.1,0,0,0
District.7,District.2,0,0,0
District.7,District.3,0,0,0
District.7,District.4,5731.164063,2830.486328,2900.677734
District.7,District.5,53.328133,0,53.328133
District.7,District.6,5299.469727,2827.533203,2471.936523
District.7,District.7,28030.12891,24285.39453,3744.735107
District.7,District.8,0,0,0
District.7,Colorado,17.840252,15.964472,1.87578
District.7,Iowa,0,0,0
District.7,Kansas,135.654114,101.31237,34.34174
District.7,South.Dakota,0,0,0
District.7,Wyoming,0,0,0
District.8,District.1,0,0,0
District.8,District.2,0,0,0
District.8,District.3,804.392456,237.242218,567.150208
District.8,District.4,1052.291382,818.774475,233.516876
District.8,District.5,53.514606,50.765488,2.749119
District.8,District.6,550.486877,81.829887,468.656982
District.8,District.7,0,0,0
District.8,District.8,11735.95898,8971.467773,2764.491211
District.8,Colorado,0,0,0
District.8,Iowa,0.808782,0,0.808782
District.8,Kansas,0,0,0
District.8,South.Dakota,66.053253,29.938213,36.11504
District.8,Wyoming,0,0,0
Colorado,District.1,0.000009,0,0.000009
Colorado,District.2,0.000897,0,0.000897
Colorado,District.3,0.000005,0,0.000005
Colorado,District.4,0,0,0
Colorado,District.5,68.375908,36.042114,32.333797
Colorado,District.6,1.930751,0.89362,1.037131
Colorado,District.7,17.420635,15.477646,1.942989
Colorado,District.8,0,0,0
Colorado,Colorado,0,0,0
Colorado,Iowa,5554.917969,0,5554.917969
Colorado,Kansas,1160.991699,11.728631,1149.263062
Colorado,South.Dakota,48.47953,0,48.47953
Colorado,Wyoming,1258.753174,0,1258.753174
Iowa,District.1,535.578491,2.367977,533.21051
Iowa,District.2,41357.60938,40090.66797,1266.94104
Iowa,District.3,2159.251465,1820.762573,338.488953
Iowa,District.4,0,0,0
Iowa,District.5,0.205144,0,0.205144
Iowa,District.6,0,0,0
Iowa,District.7,0,0,0
Iowa,District.8,1.675644,0,1.675644
Iowa,Colorado,5285.664063,0,5285.664063
Iowa,Iowa,742.614319,0,742.614319
Iowa,Kansas,3767.12085,0,3767.12085
Iowa,South.Dakota,19643.2793,0,19643.2793
Iowa,Wyoming,976.498901,0,976.498901
Kansas,District.1,599.440735,383.975952,215.464783
Kansas,District.2,3.690607,0,3.690607
Kansas,District.3,0.000057,0,0.000057
Kansas,District.4,198.130249,146.251877,51.878361
Kansas,District.5,0.085949,0,0.085949
Kansas,District.6,0,0,0
Kansas,District.7,157.791611,114.749901,43.04171
Kansas,District.8,0,0,0
